Mundo;Char;;
Auroria;Aang Navigation;;
Belaria;Abadias On Belaria;;
Elysian;Abaga Kina;;
Bellum;Abak on Bellum;;
Harmonian;Abastady;;
Vesperia;Abdi Tank;;
Spectrum;Abdias;;
Bellum;Abdomen Estralado;;
Belaria;Abensuado;;
Belaria;Abibas;;
Solarian;Abis;;
Elysian;Abnerzin;;
Elysian;Abo Dist;;
Vesperia;Abo Monk;;
Bellum;Abobora Assasina;;
Harmonian;Abovee;;
Elysian;Abovel On Knight;;
Belaria;Abrahom Linkoln;;
Belaria;Abreeu;;
Spectrum;Abruxa;;
Harmonian;Absolut Ego;;
Solarian;Absoluto Louco Homem;;
Kalarian;Abu Elita;;
Belaria;Abububleehh;;
Belaria;Abusadho;;
Auroria;Abyssal Mage;;
Lunarian;Accid;;
Harmonian;Aces Last Dance;;
Belaria;Acidus market;;
Vesperia;Acidus market tres;;
Vesperia;Acnologyy;;
Belaria;Ada paly;;
Solarian;Adazaqua;;
Auroria;Adc Druida;;
Elysian;Adda Rayla;;
Belaria;Adelaide Ca;;
Solarian;Ademicon;;
Lunarian;Ades de Uva;;
Solarian;Adeus Solarian;;
Belaria;Adidadida;;
Vesperia;Admiral Proudmoore;;
Bellum;Adonker;;
Kalarian;Adrian Monk;;
Belaria;Adriano Is Back;;
Belaria;Adrielsky;;
Belaria;Adssds;;
Vesperia;Advogado do Crime;;
Bellum;Advogado Trapaceiro;;
Harmonian;Advogorda;;
Elysian;Ae;;
Vesperia;Aegis Xis;;
Spectrum;Aegon On Rubinot;;
Auroria;Aegon Targaryen Two;;
Bellum;Aegon Zabojca;;
Vesperia;Aelin Chan;;
Belaria;Aerialsz;;
Lunarian;Aerondor;;
Solarian;Aerus;;
Belaria;Aetherion Basturion;;
Belaria;Afalna Beto;;
Bellum;Aflor Que Lombra;;
Lunarian;Afonso Royal;;
Harmonian;Aga Romeu Peitin;;
Solarian;Agenor Apolinario;;
Spectrum;Aggronite;;
Spectrum;Agiota blindado;;
Vesperia;Agis Invictus;;
Belaria;Agix Cash;;
Vesperia;Agsoul;;
Belaria;Agua Comgas Belaria;;
Vesperia;Aguarda;;
Vesperia;Ah Eh Oh Jabras Neah;;
Lunarian;Ahsoka Stark;;
Spectrum;Aicemiquebraeu;;
Solarian;Aigon Lord;;
Lunarian;Aigor The Ironhand;;
Solarian;Ailish;;
Elysian;Ailu;;
Vesperia;Aimeu Uzinho;;
Lunarian;Ain Eu Querum;;
Belaria;Ain Eusou Paladina;;
Harmonian;Aioria de Leao;;
Kalarian;Aioria Monk;;
Solarian;Aiwi Hire;;
Elysian;Aizen Rhain;;
Solarian;Ajksld;;
Elysian;Ajudante do Hourest;;
Solarian;Ajuricabaa;;
Belaria;Aka Blocker;;
Harmonian;Aka Distance;;
Solarian;Akahai;;
Solarian;Akalashi;;
Vesperia;Akalipe;;
Belaria;Akame do bidu;;
Belaria;Akame Tatsumaki;;
Elysian;Akane Saotome;;
Solarian;Akatsuki Kojou;;
